Num_Agents,Mean_Q
60,118.39899446283324
61,85.7524014704681
62,78.7114082255952
63,74.99551551497606
64,69.81824223692071
65,68.77392790226632
66,66.42663110819284
67,63.56235756119041
68,62.33368786230629
69,60.01836287474285
70,58.837253647829016
71,58.63667920199063
72,56.639620273147365
73,54.72476975085512
74,54.89541015691994
75,52.90358714465959
76,51.81254925092636
77,50.82065315007058
78,51.189516737168994
79,49.7486507507456
80,48.17064283094511
81,47.05884423529334
82,46.84944913455044
83,46.23008359382752
84,45.62348720672773
85,44.19513730283763
86,43.637998980406586
87,42.94043156803128
88,42.69300617870096
89,41.7346722476019
90,40.670110281357175
91,40.28821281599604
92,39.40262922365893
93,39.052199573355935
94,38.75913520178555
95,37.39377600261054
96,36.3142640102333
97,35.33590005950145
98,34.245541849525544
99,33.65262799093276
100,33.16372410200913
101,32.6910232125414
102,31.37688103606805
103,31.220332679099315
104,29.0518789663947
105,28.15319085351933
106,27.529512360805487
107,26.88343932143516
108,25.70257032494801
109,24.437166038884275
110,23.69102743353337
111,20.174089134616583
112,21.15965056543822
113,18.70006572113898
114,18.022223448850973
115,12.303850307201682
116,11.298927165260526
117,8.34321080541169
118,6.098334625106618
119,4.725887418214098
120,2.3605079046750874
121,2.5554663090393395
122,1.3684028021325156
123,0.9830818969323604
124,0.709177642038541
