C_ID,Q_Agent_Time,First_Path,Did_Queue,Queue_Length
215,3.696500585981731,Agent,True,3
216,3.3782879702670314,Agent,True,4
217,3.5207710788255895,Agent,True,5
218,3.478303615679188,Agent,True,6
219,3.7950171828421304,Agent,True,7
220,3.6334960152175455,Agent,True,8
127,,Bot,False,
221,4.303115961103316,Agent,True,9
222,4.092210665737518,Agent,True,10
223,3.924916403216301,Agent,True,11
224,3.761397446719471,Agent,True,12
225,3.9752656138708176,Agent,True,13
226,2.95547489320181,Agent,True,14
227,2.7616323744536047,Agent,True,12
228,2.451798463299582,Agent,True,11
229,2.735198839876304,Agent,True,12
230,2.864805278635494,Agent,True,13
231,2.8847740316757324,Agent,True,14
232,2.699353054044167,Agent,True,13
233,2.673108352123762,Agent,True,14
234,2.6703152365243596,Agent,True,14
125,2.4414740398130235,Bot,True,14
235,2.461388972491001,Agent,True,15
236,1.9577446120453743,Agent,True,15
237,1.4178219286526499,Agent,True,11
238,1.199723679302366,Agent,True,10
239,1.3385159899030938,Agent,True,11
240,1.3175508377835286,Agent,True,12
241,1.7671264602126016,Agent,True,13
242,1.5635235676996189,Agent,True,12
243,1.537601813013488,Agent,True,13
244,1.962635911229853,Agent,True,14
245,1.515732859083144,Agent,True,7
246,1.631621639507344,Agent,True,8
247,1.6116761509433601,Agent,True,8
248,1.6001028523713074,Agent,True,7
249,1.6338587279810923,Agent,True,8
250,1.1225633286878676,Agent,True,6
251,1.101311711631233,Agent,True,7
252,1.337479721224554,Agent,True,8
253,1.4102513750492705,Agent,True,9
254,1.4383540902592173,Agent,True,10
255,0.9857638637599919,Agent,True,8
256,1.0757336643699418,Agent,True,9
257,1.4912835612355764,Agent,True,9
258,1.2150207678479035,Agent,True,8
154,1.2922867360849395,Bot,True,7
259,1.2405665508024768,Agent,True,8
260,1.5263265054542217,Agent,True,9
261,1.084622723051119,Agent,True,5
262,1.6035849773323534,Agent,True,6
263,1.7017530358129704,Agent,True,6
264,1.3324709604560567,Agent,True,4
159,1.428533873829977,Bot,True,5
265,1.4921924701173879,Agent,True,6
266,1.495298022344997,Agent,True,7
267,1.4557311377244417,Agent,True,7
268,1.4547543890805699,Agent,True,8
269,1.1751361333768813,Agent,True,8
270,1.2532099722249512,Agent,True,9
271,0.7129274762184181,Agent,True,4
272,0.2872833315527572,Agent,True,2
273,0.14593623709323822,Agent,True,0
274,0.0,Agent,True,0
275,0.0,Agent,True,0
276,0.18186434393220452,Agent,True,0
277,0.0,Agent,True,0
278,0.0,Agent,True,0
279,0.0,Agent,True,0
280,0.0,Agent,True,0
281,0.0,Agent,True,0
282,0.009343491423408068,Agent,True,0
283,0.0,Agent,True,0
284,0.0,Agent,True,0
285,0.0,Agent,True,0
189,,Bot,False,
191,0.0,Bot,True,0
286,0.0,Agent,True,0
287,0.0,Agent,True,0
193,,Bot,False,
288,0.0,Agent,True,0
290,0.0,Agent,True,0
291,0.0,Agent,True,0
292,0.11347677700044301,Agent,True,0
195,0.2320985407921441,Bot,True,1
293,0.2552323811729451,Agent,True,2
294,0.0,Agent,True,0
295,0.0,Agent,True,0
296,0.07795899751251767,Agent,True,0
297,0.0,Agent,True,0
